日付,銘柄名,コード,業種,TOPIXに占める個別銘柄のウエイト,ニューインデックス区分
20260430,メック,4971,化学,0.0130%,TOPIX Small 1
20260430,日本高純度化学,4973,化学,0.0024%,TOPIX Small 2
20260430,タカラバイオ,4974,化学,0.0029%,TOPIX Small 1
20260430,ＪＣＵ,4975,化学,0.0136%,TOPIX Small 1
20260430,ＯＡＴアグリオ,4979,化学,0.0019%,TOPIX Small 2
20260430,デクセリアルズ,4980,化学,0.0396%,TOPIX Mid400
20260430,アース製薬,4985,化学,0.0080%,TOPIX Small 1
20260430,北興化学工業,4992,化学,0.0023%,TOPIX Small 2
20260430,大成ラミックグループ,4994,化学,0.0013%,TOPIX Small 2
20260430,クミアイ化学工業,4996,化学,0.0065%,TOPIX Small 1
20260430,日本農薬,4997,化学,0.0029%,TOPIX Small 2
20260430,ニチレキグループ,5011,石油・石炭製品,0.0041%,TOPIX Small 2
20260430,ユシロ,5013,石油・石炭製品,0.0033%,TOPIX Small 2
20260430,ＪＸ金属,5016,非鉄金属,0.3492%,TOPIX Mid400
20260430,出光興産,5019,石油・石炭製品,0.1116%,TOPIX Mid400
20260430,ＥＮＥＯＳホールディングス,5020,石油・石炭製品,0.3572%,TOPIX Large70
20260430,コスモエネルギーホールディングス,5021,石油・石炭製品,0.0424%,TOPIX Mid400
20260430,ＡＮＹＣＯＬＯＲ,5032,情報・通信業,0.0084%,TOPIX Small 1
20260430,日本ビジネスシステムズ,5036,情報・通信業,0.0030%,TOPIX Small 2
20260430,テスホールディングス,5074,建設業,0.0039%,TOPIX Small 2
20260430,インフロニア・ホールディングス,5076,建設業,0.0418%,TOPIX Mid400
20260430,横浜ゴム,5101,ゴム製品,0.0673%,TOPIX Mid400
20260430,ＴＯＹＯ　ＴＩＲＥ,5105,ゴム製品,0.0462%,TOPIX Mid400
20260430,ブリヂストン,5108,ゴム製品,0.3420%,TOPIX Large70
20260430,住友ゴム工業,5110,ゴム製品,0.0417%,TOPIX Mid400
20260430,藤倉コンポジット,5121,ゴム製品,0.0040%,TOPIX Small 2
20260430,オカモト,5122,ゴム製品,0.0057%,TOPIX Small 2
20260430,アキレス,5142,化学,0.0014%,TOPIX Small 2
20260430,フコク,5185,ゴム製品,0.0016%,TOPIX Small 2
20260430,ニッタ,5186,ゴム製品,0.0084%,TOPIX Small 2
20260430,三ツ星ベルト,5192,ゴム製品,0.0096%,TOPIX Small 1
20260430,バンドー化学,5195,ゴム製品,0.0058%,TOPIX Small 2
20260430,ＡＧＣ,5201,ガラス・土石製品,0.1041%,TOPIX Mid400
20260430,日本板硝子,5202,ガラス・土石製品,0.0053%,TOPIX Small 1
